timesteps,ep_rew_mean,ep_len_mean
1172032,1466.9951171875,943.1900024414062
1175552,1437.4793701171875,934.8800048828125
1176128,1472.1142578125,943.1900024414062
1179648,1447.9315185546875,941.0399780273438
1180224,1477.888671875,943.1900024414062
1183744,1439.09375,941.6599731445312
1184320,1480.5928955078125,943.1900024414062
1187840,1442.651123046875,942.8300170898438
1188416,1484.25244140625,943.1900024414062
1192512,1479.7955322265625,943.1900024414062
1196608,1480.3995361328125,943.1900024414062
1200704,1488.18798828125,945.2100219726562
1204800,1510.416748046875,948.219970703125
1208896,1501.397216796875,948.219970703125
1212992,1473.0,929.5599975585938
1217088,1508.081298828125,950.9199829101562
1221184,1502.0478515625,942.72998046875
1225280,1503.8970947265625,942.72998046875
1229376,1512.7669677734375,946.6699829101562
1233472,1510.423095703125,946.6699829101562
1237568,1512.2830810546875,946.6699829101562
1241664,1526.50537109375,952.739990234375
1245760,1524.421875,955.6199951171875
1249856,1524.7489013671875,955.6199951171875
1253952,1521.2467041015625,955.6199951171875
1258048,1513.7562255859375,955.6199951171875
1262144,1525.9549560546875,964.9199829101562
1266240,1507.888427734375,964.9199829101562
1270336,1505.4310302734375,964.9199829101562
1274432,1508.4908447265625,964.9199829101562
1278528,1510.2340087890625,964.9199829101562
1282624,1509.9766845703125,964.9199829101562
1286720,1499.529052734375,958.3599853515625
1290816,1494.162841796875,950.1799926757812
1294912,1485.8031005859375,950.1799926757812
1299008,1481.735107421875,950.1799926757812
1303104,1486.1383056640625,950.1799926757812
1307200,1507.3779296875,969.030029296875
1311296,1506.42919921875,969.030029296875
1315392,1487.035400390625,959.6599731445312
1319488,1493.17138671875,964.52001953125
1323584,1493.621826171875,964.52001953125
1327680,1507.6427001953125,972.3300170898438
1331776,1513.344482421875,972.3300170898438
1335872,1499.72509765625,968.0
1339968,1501.3563232421875,968.0
1344064,1512.263916015625,968.0
1348160,1507.7874755859375,968.0
1352256,1522.009765625,968.0
1356352,1533.92626953125,968.0
1360448,1523.457763671875,968.22998046875
1364544,1537.23779296875,968.22998046875
1368640,1545.339111328125,968.22998046875
1372736,1549.3594970703125,968.22998046875
1376832,1544.404541015625,968.22998046875
1380928,1546.6136474609375,968.22998046875
1385024,1548.263671875,971.239990234375
1389120,1538.234619140625,965.219970703125
1393216,1557.0283203125,973.4000244140625
1397312,1572.0152587890625,973.4000244140625
1401408,1567.5626220703125,970.780029296875
1405504,1572.874755859375,966.8099975585938
1409600,1568.1357421875,966.1599731445312
1413696,1587.107421875,978.8599853515625
